	GeneID	count	gene_symbol
25583	727924	3	LINC02203
25584	727936	11	GXYLT2
25585	727940	1	RHOXF2B
25586	727941	1	SLC25A24P1
25587	727947	1	LOC727947
25588	727951	2	RPS3AP16
25589	727956	6	SDHAP2
25590	727957	14	MROH1
25591	727970	1	RPS3AP43
25592	727982	2	LINC01249
25593	727984	1	RPL17P22
25594	727993	4	PDYN-AS1
25595	727997	2	RPS12P9
25596	728002	1	RPL15P17
25597	728010	1	RPL35P3
25598	728012	1	MCHR2-AS1
25599	728022	2	DUX4L14
25600	728024	2	LOC728024
25601	728026	1	PTMAP12
25602	728034	1	BMS1P23
25603	728036	2	CT47A10
25604	728039	4	SSR4P1
25605	728040	3	LINC02499
25606	728042	2	CT47A9
25607	728045	2	PPBPP1
25608	728047	9	GOLGA8O
25609	728048	2	IFITM3P1
25610	728049	2	CT47A8
25611	728062	3	CT47A6
25612	728064	1	CUBNP1
25613	728066	1	FAM133DP
25614	728072	2	CT47A5
25615	728075	2	CT47A4
25616	728081	2	LINC00290
25617	728082	3	CT47A3
25618	728084	1	LINC02458
25619	728088	1	RPL15P18
25620	728090	2	CT47A2
25621	728095	1	SLIT3-AS1
25622	728096	2	CT47A1
25623	728097	1	FAM8A2P
25624	728106	1	RPL23AP50
25625	728111	2	HMGN1P31
25626	728113	24	ANXA8L1
25627	728116	8	ZBTB8B
25628	728118	4	NUTM2A
25629	728121	1	CSPG4P12
25630	728126	1	RPSAP30
25631	728128	1	RPL7AP26
25632	728130	4	NUTM2D
25633	728131	1	RPS6P6
25634	728132	5	TSPY9
25635	728134	1	RPL23AP18
25636	728137	4	TSPY3
25637	728138	1	LOC728138
25638	728139	1	RPL7AP70
25639	728158	1	LOC728158
25640	728169	1	DUX4L16
25641	728175	4	LINC02363
25642	728178	1	OTULIN-DT
25643	728179	1	RPL7AP36
25644	728190	4	NUTM2A-AS1
25645	728192	27	LINC00460
25646	728194	7	RSPH10B2
25647	728195	1	FGF7P4
25648	728196	3	MIR34BHG
25649	728202	2	RPL36AP7
25650	728207	1	RPL23AP75
25651	728215	22	NALF1
25652	728218	1	FAM245A
25653	728224	6	KRTAP4-8
25654	728226	5	GGTLC3
25655	728228	9	LINC01433
25656	728229	2	TMEM191B
25657	728233	5	PI4KAP1
25658	728234	1	HMGN2P16
25659	728239	19	MAGED4
25660	728244	1	RPS12P29
25661	728255	3	KRTAP1-4
25662	728262	1	FAM157A
25663	728264	12	CARMN
25664	728269	13	MAGEA9B
25665	728276	5	CLEC19A
25666	728279	4	KRTAP2-2
25667	728290	3	LINC02027
25668	728294	36	D2HGDH
25669	728299	1	KRTAP19-8
25670	728310	1	GOLGA6L7
25671	728311	1	RPL26P24
25672	728315	1	RPL7AP31
25673	728317	1	PWWP4
25674	728318	3	KRTAP9-1
25675	728323	6	LINC01881
25676	728325	1	HMGN1P21
25677	728327	1	LINC02667
25678	728333	1	NCOA4P2
25679	728339	1	FRG1-DT
25680	728340	21	GTF2H2C
25681	728342	3	LINC00992
25682	728343	16	NXF2B
25683	728358	39	DEFA1B
25684	728361	4	OVOL3
25685	728365	1	RPL6P16
25686	728369	19	USP17L24
25687	728373	17	USP17L25
25688	728374	1	RPL9P21
25689	728377	4	ARHGEF34P
25690	728378	33	POTEF
25691	728379	17	USP17L26
25692	728380	1	RPL7P26
25693	728386	20	USP17L5
25694	728388	1	DNM1P30
25695	728392	6	LOC728392
25696	728393	18	USP17L27
25697	728395	4	TSPY4
25698	728400	18	USP17L28
25699	728402	1	TPI1P3
25700	728403	3	TSPY8
25701	728405	18	USP17L29
25702	728407	2	PARGP1
25703	728409	4	LINC01548
25704	728410	7	DUX4L2
25705	728411	13	GUSBP1
25706	728417	1	LOC728417
25707	728419	17	USP17L30
25708	728428	1	RPS15P1
25709	728430	3	FAM90A20P
25710	728431	4	ZC3H12A-DT
25711	728433	1	FGF7P7
25712	728434	4	LINC02871
25713	728441	28	GGT2P
25714	728447	2	TEX28P1
25715	728448	8	PPIEL
25716	728450	2	LINC00687
25717	728453	1	RPS28P6
25718	728458	14	OPN1MW2
25719	728463	3	TGFB2-AS1
25720	728464	2	METTL24
25721	728477	1	GOLGA2P8
25722	728481	1	RPL23AP21
25723	728484	1	RPL23AP61
25724	728485	3	LOC728485
25725	728486	1	RPL7AP64
25726	728489	13	DNLZ
25727	728492	10	SERF1B
25728	728498	3	GOLGA8H
25729	728501	2	RPL21P75
25730	728505	2	WDR82P1
25731	728509	1	RPS19P7
25732	728513	5	PNMA6B
25733	728517	1	RPL23AP24
25734	728519	2	NAIPP2
25735	728523	1	RPL9P17
25736	728524	2	SPDYE8
25737	728526	1	LOC728526
25738	728535	1	NAIPP1
25739	728537	4	C2orf92
25740	728538	1	RPL23AP77
25741	728553	1	RPS8P8
25742	728556	4	MEMO1P1
25743	728558	3	ENTPD1-AS1
25744	728562	1	RPSAP45
25745	728567	1	RPL23AP48
25746	728568	11	C12orf73
25747	728572	1	RPL32P11
25748	728576	1	RPL15P7
25749	728577	8	CNTNAP3B
25750	728586	4	CCDC192
25751	728588	1	MS4A18
25752	728590	1	RPS27AP11
25753	728591	4	CCDC169
25754	728597	9	DCDC2C
25755	728599	1	CIAPIN1P
25756	728606	7	PCAT18
25757	728609	3	SDHAP3
25758	728611	1	BMS1P10
25759	728613	3	PDCD6P1
25760	728620	1	RPL7P22
25761	728621	8	CCDC30
25762	728622	2	SKP1P2
25763	728629	1	TPI1P4
25764	728632	3	HMGN2P3
25765	728635	9	DHRS4L1
25766	728637	5	MEIKIN
25767	728638	3	KRT8P3
