candidate_gene,neighbors,neighbors_in_seed,neighbors_divide_by_interactome_size,neighbors_in_seed_divide_by_seed_size,ratios,p_value,fdr_bh
NCL,376,12,0.02019767941555651,0.1188118811881188,5.882452074994734,0.0,0.0
CDKN1A,502,12,0.02696605070906747,0.1188118811881188,4.405980040235099,0.0,0.0
MDM2,561,12,0.03013536742587022,0.1188118811881188,3.9426060253084128,0.0,0.0
EZH2,366,12,0.019660507090674687,0.1188118811881188,6.043174809284207,0.0,0.0
CASP3,256,12,0.013751611516974646,0.1188118811881188,8.639851485148514,0.0,0.0
CRK,503,12,0.02701976794155565,0.1188118811881188,4.39722063657658,0.0,0.0
NOTCH1,322,12,0.01729694886119467,0.1188118811881188,6.868950249062173,0.0,0.0
KRAS,314,12,0.016867211001289215,0.1188118811881188,7.043955350949107,0.0,0.0
YWHAZ,688,12,0.03695745595186936,0.1188118811881188,3.214828459590145,0.0,0.0
CREBBP,545,12,0.029275891706059303,0.1188118811881188,4.058352257244073,0.0,0.0
CHUK,241,12,0.012945853029651913,0.1188118811881188,9.177601577585143,0.0,0.0
PLCG1,504,12,0.027073485174043833,0.1188118811881188,4.388495992456388,0.0,0.0
YBX1,339,12,0.018210141813493768,0.1188118811881188,6.5244896171033036,0.0,0.0
UBE2I,587,12,0.03153201547056295,0.1188118811881188,3.767976116180613,0.0,0.0
SOX2,393,12,0.021110872367855606,0.1188118811881188,5.627994860554758,0.0,0.0
EWSR1,622,11,0.03341211860764933,0.10891089108910891,3.259622425265035,0.0,0.0
PTK2,309,11,0.016598624838848303,0.10891089108910891,6.5614406100804255,0.0,0.0
PPARG,334,11,0.01794155565105286,0.10891089108910891,6.070314815912728,0.0,0.0
H3C1|H3C10|H3C11|H3C12|H3C2|H3C3|H3C4|H3C6|H3C7|H3C8,540,11,0.029007305543618394,0.10891089108910891,3.7546021268793544,0.0,0.0
STAT1,727,11,0.039052428018908465,0.10891089108910891,2.7888378934179525,0.0,0.0
RPA1,493,11,0.026482595616673828,0.10891089108910891,4.112545940192397,0.0,0.0
IQGAP1,289,11,0.015524280189084659,0.10891089108910891,7.0155195450340875,0.0,0.0
PML,259,11,0.013912763214439192,0.10891089108910891,7.828127986543828,0.0,0.0
FYN,569,11,0.030565105285775676,0.10891089108910891,3.5632427917659957,0.0,0.0
NRAS,280,11,0.015040825096691019,0.10891089108910891,7.241018387553041,0.0,0.0
PPP1CB,395,11,0.021218306832831973,0.10891089108910891,5.132873793708485,0.0,0.0
EED,492,11,0.026428878384185648,0.10891089108910891,4.1209047734041695,0.0,0.0
IGF1R,233,11,0.012516115169746454,0.10891089108910891,8.701652997917817,0.0,0.0
PPP1CC,518,11,0.027825526428878384,0.10891089108910891,3.914063993271914,0.0,0.0
H4-16|H4C1|H4C11|H4C12|H4C13|H4C14|H4C15|H4C2|H4C3|H4C4|H4C5|H4C6|H4C8|H4C9,429,10,0.023044692737430168,0.09900990099009901,4.296429642964297,0.0,0.0
FOXO3,214,10,0.011495487752470992,0.09900990099009901,8.612936059961138,0.0,0.0
CDC37,456,10,0.024495058014611087,0.09900990099009901,4.0420357825256215,0.0,0.0
CHEK1,250,10,0.013429308122045552,0.09900990099009901,7.372673267326733,0.0,0.0
ERBB4,205,10,0.011012032660077354,0.09900990099009901,8.991064960154551,0.0,0.0
BMI1,414,10,0.022238934250107433,0.09900990099009901,4.4520973836514095,0.0,0.0
ACTG1,329,10,0.017672969488611946,0.09900990099009901,5.602335309518795,0.0,0.0
ETS1,249,10,0.01337559088955737,0.09900990099009901,7.402282396914391,0.0,0.0
UBE3A,259,10,0.013912763214439192,0.09900990099009901,7.116479987767117,0.0,0.0
CTBP1,183,10,0.009830253545337344,0.09900990099009901,10.07195801547368,0.0,0.0
PLK1,521,10,0.02798667812634293,0.09900990099009901,3.5377510879686818,0.0,0.0
PGR,154,10,0.00827245380318006,0.09900990099009901,11.96862543397197,0.0,0.0
CDC5L,611,10,0.03282122905027933,0.09900990099009901,3.016642089740889,0.0,0.0
PIK3R2,455,10,0.024441340782122904,0.09900990099009901,4.050919377652051,0.0,0.0
TUBB,361,10,0.019391920928233778,0.09900990099009901,5.105729409506048,0.0,0.0
DNMT1,154,9,0.00827245380318006,0.0891089108910891,10.771762890574772,0.0,0.0
SMAD4,351,9,0.018854748603351956,0.0891089108910891,4.7260726072607255,0.0,0.0
STUB1,331,9,0.017780403953588313,0.0891089108910891,5.011635906793096,0.0,0.0
FLNB,101,9,0.005425440481306403,0.0891089108910891,16.424272130183315,0.0,0.0
TFAP2A,264,9,0.014181349376880103,0.0891089108910891,6.283528352835283,0.0,0.0
SKP1,243,9,0.013053287494628276,0.0891089108910891,6.826549321598827,0.0,0.0
E2F1,359,9,0.01928448646325741,0.0891089108910891,4.620756226040432,0.0,0.0
SIN3A,222,9,0.011925225612376451,0.0891089108910891,7.472303987155471,0.0,0.0
THRB,116,9,0.006231198968629136,0.0891089108910891,14.300443837487196,0.0,0.0
JUP,149,9,0.008003867640739149,0.0891089108910891,11.133231443949764,0.0,0.0
DDB1,267,9,0.014342501074344649,0.0891089108910891,6.212926910668595,0.0,0.0
MAPK14,486,9,0.026106574989256552,0.0891089108910891,3.4132746607994133,0.0,0.0
CDC42,408,9,0.02191663085517834,0.0891089108910891,4.065812463599301,0.0,0.0
CRKL,197,9,0.010582294800171895,0.0891089108910891,8.420565914459466,0.0,0.0
CDKN1B,189,9,0.010152556940266438,0.0891089108910891,8.776991984912776,0.0,0.0
KAT5,419,9,0.022507520412548346,0.0891089108910891,3.9590727569176964,0.0,0.0
SMAD1,230,9,0.012354963472281908,0.0891089108910891,7.212397761515281,0.0,0.0
CEBPB,240,9,0.01289213579716373,0.0891089108910891,6.911881188118811,0.0,0.0
HSPA1A,291,9,0.015631714654061022,0.0891089108910891,5.70052056752067,0.0,0.0
VEGFA,157,9,0.008433605500644608,0.0891089108910891,10.565933026423659,0.0,0.0
CDK8,137,9,0.007359260850880962,0.0891089108910891,12.10840500108405,0.0,0.0
MED1,180,9,0.009669101847872797,0.0891089108910891,9.215841584158415,0.0,0.0
RPS2,313,9,0.016813493768801032,0.0891089108910891,5.2998450004744875,0.0,0.0
GSK3B,527,9,0.028308981521272022,0.0891089108910891,3.1477257782704267,0.0,0.0
SMARCB1,202,9,0.010850880962612806,0.0891089108910891,8.212136065091657,0.0,0.0
RPA3,431,9,0.02315212720240653,0.0891089108910891,3.8488433530127955,0.0,0.0
WDR5,214,9,0.011495487752470992,0.0891089108910891,7.751642453965022,0.0,0.0
CDK4,259,9,0.013912763214439192,0.0891089108910891,6.404831988990405,0.0,0.0
HSPA4,305,9,0.016383755908895573,0.0891089108910891,5.438857328355787,0.0,0.0
FGFR1,196,9,0.010528577567683713,0.0891089108910891,8.463527985451606,0.0,0.0
MET,240,9,0.01289213579716373,0.0891089108910891,6.911881188118811,0.0,0.0
H2AX,345,9,0.01853244520842286,0.0891089108910891,4.808265174343521,0.0,0.0
BCL2,243,9,0.013053287494628276,0.0891089108910891,6.826549321598827,0.0,0.0
SMC3,254,8,0.013644177051998281,0.07920792079207921,5.805254541202152,0.0,0.0
IKBKG,495,8,0.026590030081650194,0.07920792079207921,2.978857885788579,0.0,0.0
CBX5,199,8,0.01068972926514826,0.07920792079207921,7.409721876710284,0.0,0.0
PIAS1,188,8,0.010098839707778254,0.07920792079207921,7.843269433326312,0.0,0.0
HNRNPK,385,8,0.02068113450795015,0.07920792079207921,3.82996013887103,0.0,0.0
FANCD2,110,8,0.005908895573700043,0.07920792079207921,13.404860486048605,0.0,0.0
SMARCC1,140,8,0.007520412548345509,0.07920792079207921,10.532390381895333,0.0,0.0
YY1,274,8,0.014718521701761925,0.07920792079207921,5.381513333815134,0.0,0.0
VDR,186,8,0.009991405242801892,0.07920792079207921,7.9276056637921855,0.0,0.0
RPL10,391,8,0.021003437902879243,0.07920792079207921,3.7711883720341346,0.0,0.0
HSPA1B,326,8,0.0175118177911474,0.07920792079207921,4.523112433942781,0.0,0.0
SUMO1,220,8,0.011817791147400086,0.07920792079207921,6.702430243024303,0.0,0.0
TRIM25,348,8,0.01869359690588741,0.07920792079207921,4.23716854444065,0.0,0.0
CFLAR,85,8,0.004565964761495488,0.07920792079207921,17.34746651135702,0.0,0.0
YWHAE,487,8,0.026160292221744735,0.07920792079207921,3.0277918962327446,0.0,0.0
KAT2B,228,8,0.012247529007305543,0.07920792079207921,6.467257252040993,0.0,0.0
NFATC1,239,8,0.012838418564675548,0.07920792079207921,6.169601060524462,0.0,0.0
PIK3R3,378,8,0.020305113880532875,0.07920792079207921,3.900885326627901,0.0,0.0
RPL13,284,8,0.015255694026643748,0.07920792079207921,5.192023427694882,0.0,0.0
TOP2A,119,8,0.006392350666093683,0.07920792079207921,12.391047508112157,0.0,0.0
ACTA1,221,8,0.011871508379888268,0.07920792079207921,6.672102504368084,0.0,0.0
IKBKB,283,8,0.015201976794155565,0.07920792079207921,5.2103698002309065,0.0,0.0
CCT2,272,8,0.01461108723678556,0.07920792079207921,5.421083284799068,0.0,0.0
